CompanyName,Address,Phone,Email,link
Shree  Kanchan Saving & Credit Cooperative Ltd.,"kaligandaki -6 ,chap ,syanja",9856014270,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-kanchan-saving-&-credit-cooperative-ltd.
Subha Chandra  Surya Saving & Credit Cooperative Ltd.,"Urlabari-4, aaitabare ,Morang",021541394,subhachandrasurya7@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/subha-chandra-surya-saving-&-credit-cooperative-ltd.
Subhida Saving & Credit Cooperative Ltd.,thimi bhaktapur,013425778,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/subhida-saving-&-credit-cooperative-ltd.
Subhechecxa Saving & Credit Cooperative Ltd.,"surya binayak , bhaktapur",019823765,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/subhechecxa-saving-&-credit-cooperative-ltd.
Subha Saving & Credit Cooperative Ltd.,sallaghari bhaktapur,016610308,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/subha-saving-&-credit-cooperative-ltd.
Kalash Saving & Credit Cooperative Ltd.,madhyapur  thimi -9 bhaktapur,016636433,kalash066bode@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/kalash-saving-&-credit-cooperative-ltd.
Kharan Saving & Credit Cooperative Ltd.,"ithari , sunsari",025582125,khanarsaccos02@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/kharan-saving-&-credit-cooperative-ltd.
Sharada Saving & Credit Cooperative Ltd.,"Sarada municipality -1,  salyan",097788,sharadacoop@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sharada-saving-&-credit-cooperative-ltd.
Shramjivi Saving & Credit Cooperative Ltd.,sabaula -9 dhanusha,041401060,shrmijivisabaila@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/shramjivi-saving-&-credit-cooperative-ltd.
Shital Saving & Credit  Cooperative Ltd.,mahalaxmisthan lalitpur,5534683,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shital-saving-&-credit-cooperative-ltd.
Shree Sharadamai Saving & Credit Cooperative Ltd.,"bagbazar, kathmandu",015351297,saccossharadamai@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-sharadamai-saving-&-credit-cooperative-ltd.
Orchid Saving & Credit Cooperative Ltd.,"old baneshwor ,kathmandu",014474890,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/orchid-saving-&-credit-cooperative-ltd.
Imanual Saving & Credit Cooperative Ltd.,"indrachowk  , kathmandu",014243949,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/imanual-saving-&-credit-cooperative-ltd.
United Hands Saving & Credit Cooperative Ltd.,balambu-12 chandragiri kathmandu,013414270,unitedhandsbalambu@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/united-hands-saving-&-credit-cooperative-ltd.
Deurali Multipurpose Cooperative Ltd.,"satdobato, Lalitpur Nepal",015229720,deuralicooperative.global@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/deurali-multipurpose-cooperative-ltd.
Tarakari Falful Saving & Credit Cooperative Ltd.,"kalimati, kathmandu",015123129,tarakariphalfool@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/tarakari-falful-saving-credit-cooperative-ltd
Suvarna Bhumi Saving & Credit Cooperative Ltd.,"dhungedhara , kathmandu",014880786,suvarna2064@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/suvarna-bhumi-saving-&-credit-cooperative-ltd.
Nilo Aakash Saving & Credit Cooperative Ltd.,"gairigaun,kathmandu",014481917,niloaakash64@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/nilo-aakash-saving-&-credit-cooperative-ltd.
Shree Siddhichandi Saving & Credit Cooperative Ltd.,kumaripati-19 lalitpur,015521341,siddhichandi@hotmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-siddhichandi-saving-&-credit-cooperative-ltd.
Ekikrit Saving & Credit Cooperative Ltd.,"gausala , kathmandu",015104101,meronaamkumarshrestha@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/ekikrit-saving-&-credit-cooperative-ltd.
kantipur Saving & Credit Cooperative Ltd.,"gorkha complex ,minbhawan, kathmandu",014106550,kantipurcreditcooperativeltd@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/kantipur-saving-&-credit-cooperative-ltd.
Pinnacal Saving & Credit Cooperative Ltd.,new road -22 kathmandu,015340758,pinnacle428@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/pinnacal-saving-&-credit-cooperative-ltd.
Sugam Saving & Credit Cooperative Ltd.,"jagadol , kathmandu",015267079,sugam.email@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sugam-saving-&-credit-cooperative-ltd.
Champawati Saving & Credit Cooperative Ltd.,"gangabu-9 , kathmandu",015906224,champawatisaving@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/champawati-saving-&-credit-cooperative-ltd.
Usha Kiran Saving & Credit Cooperative Ltd.,kalanki -14 kathmandu,015234436,ushakiran.coop@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/usha-kiran-saving-&-credit-cooperative-ltd.
Sadbhab Multipurpose Cooperative Ltd.,"sankhamul , kathmandu",015900144,sadbhab077@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sadbhab-multipurpose-cooperative-ltd.
Sungava Saving & Credit Cooperative ltd.,"ratuwamai-6  sanischare , morang",9802706822,sungavasaving@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sungava-saving-&-credit-cooperative-ltd.
Trinity Saving & Credit Cooperative Ltd.,balagu kathmandu,014986769,saccostrinity23@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/trinity-saving-&-credit-cooperative-ltd.
Chandra Surya Saving & Credit Cooperative Ltd.,lagankhel -12 lalitpur,015550631,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/chandra-surya-saving-&-credit-cooperative-ltd.
Narsingha Saving & Credit Cooperative Ltd.,nakabahil-16 lalitpur,0758473,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/narsingha-saving-&-credit-cooperative-ltd.
Sharad Saving & Credit Cooperative Ltd.,jagati bhaktapur,016610548,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/sharad-saving-&-credit-cooperative-ltd.
Kamdhunu Saving & Credit Cooperative Ltd.,"surya binayak ,chitpol  bhaktapur",017384883,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/kamdhunu-saving-&-credit-cooperative-ltd.
Creation Saving & Credit Cooperative Ltd.,"kageshwori manohara -9, kadaghari",014991557,creationsavingandcreditlimited@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/creation-saving-&-credit-cooperative-ltd.
Gahana  Multipurpose Cooperative Ltd,kajeshwori manahara -9 kathmandu,014991024,gahanamultipurpose@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/gahana-multipurpose-cooperative-ltd
Swabalambhi Saving & Credit Cooperative Ltd.,Birendranagar -4 surkhet,083522346,s.saccos.skt@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/swabalambhi-saving-&-credit-cooperative-ltd.
Akarshan Saving &  Credit Cooperative Ltd.,Anamnagar kathmandu,014102528,akarshansoccl@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/akarshan-saving-&-credit-cooperative-ltd.
Kathmandu Chandrigiri  Multipurpose Cooperative Ltd.,"chandrajiri -12  balambhu, kathmandu",013414928,kathmanduchandragiri@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/kathmandu-chandrigiri-multipurpose-cooperative-ltd.
Manmuri Agriculture Cooperative Ltd.,"kajeshwori manahara -8  jatthghar , kathmandu",015148199,manamurikrishi@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/manmuri-agriculture-cooperative-ltd.
Helix  Saving & Credit Cooperative Ltd.,"kageshwori manohara -9, kadaghari",014991491,helixsavingltd@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/helix-saving-credit-cooperative-ltd
Kabeli Multipurpose Cooperative Ltd.,"pepsikola, kathmandu",015156320,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/kabeli-multipurpose-cooperative-ltd.
Shree Amarjyoti Saving & Credit Cooperative Ltd.,butwal -11 rupendehi,055684753,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-amarjyoti-saving-&-credit-cooperative-ltd.
Siddibinayak Multipurpose Cooperative Ltd.,"Urlabari-5,Morang",021540660,siddibinaykcoop@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/siddibinayak-multipurpose-cooperative-ltd.
Aadarsha Saving & Credit Cooperative Ltd.,"bharatpur ,chitwan",056524169,aadarshasaving@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aadarsha-saving-&-credit-cooperative-ltd.
Paurakhe  Multipurpose Cooperative Ltd.,"nepalgung, bake",081551041,paurakheemt@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/paurakhe-multipurpose-cooperative-ltd.
Shree Matribhumi Multipurpose Cooperative Ltd.,"bhuwaqneshwor marg , butwal -4 rupendehi",071544821,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-matribhumi-multipurpose-cooperative-ltd.
Pahuna Multipurpose Cooperative Ltd.,"Radhe Radhe -9, Bhaktapur",015910234,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/pahuna-multipurpose-cooperative-ltd.-4
Goals Saving &  Credit  Coopertive Ltd.,"chauni-15, kathmandu",014278140,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/goals-saving-&-credit-coopertive-ltd.
Astalaxmi  Saving & Credit Cooperative Ltd.,patharisanishchare morang,021555528,astalaxmi062@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/astalaxmi-saving-&-credit-cooperative-ltd.
Jana Shakti Saving & Credit Cooperative Ltd.,"Birtamode, Jhapa Nepal",023933344,janashakticoop2014@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/jana-shakti-saving-&-credit-cooperative-ltd.
Sarba Sakti Saving & Credit Cooperative Ltd.,"bharatpur-2, chitwan",056590525,sarbasakti68@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sarba-sakti-saving-&-credit-cooperative-ltd.
Good Will Saving & Credit Cooperative Ltd.,"shankhamul, baneshwor",014481746,info@goodwillsaving.com.np,https://www.sahakariakhabar.com/cooperative-directory/good-will-saving-&-credit-cooperative-ltd.
Chaughada Saving & Credit Cooperative Ltd.,"hetauda-6, chaughada",057530226,sahakari.chaughada@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/chaughada-saving-&-credit-cooperative-ltd.
Shree Sagarmatha Saving & Credit Cooperative Ltd.,"Urlabari-5,Morang",021540103,saccossagarmatha@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-sagarmatha-saving-&-credit-cooperative-ltd.
Junar Central Cooperative Union ltd,"Sindhuli, Kathmandu",476489653,sindhuliko.junar@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/junar-central-cooperative-union-ltd
Srijana saving & Credit Cooperative  ltd.,balkot -bhaktapur,015639904,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/srijana-saving-&-credit-cooperative-ltd.
Aphanta Saving & Credit Cooperative Ltd.,"minbhawan ,kathmandu",014106532,aphantaco@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aphanta-saving-&-credit-cooperative-ltd.
Binayak sewamulak Multipurpose  Cooperative Ltd.,"bhaktapur ,thimi",015093591,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/binayak-sewamulak-multipurpose-cooperative-ltd.
Shankhadhar Saving & Credit Cooperative Ltd.,Thimi  bhaktapur,015093507,shankhadhar-s@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shankhadhar-saving-&-credit-cooperative-ltd.
Ujyalo Saving & Credit Cooperative Ltd.,"surya binayak , bhaktapur",016612362,ujyalosaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/ujyalo-saving-&-credit-cooperative-ltd.
Sumarga Saving & Credit Cooperative Ltd.,"surya binayak , bhaktapur",016611549,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/sumarga-saving-&-credit-cooperative-ltd.
Hausala Multipurpose Cooperative Ltd.,"satdobato, Lalitpur Nepal",015540690,hausalacoop@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/hausala-multipurpose-cooperative-ltd.
Katunje Cooperative Ltd.,"suryabinayak-5 ghalate , bhaktapur",015092214,katunjecooperativeltd@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/katunje-cooperative-ltd.
Saptakoshi  Saving & Credit Cooperative Ltd.,"satdobato ,chapagaumod,lalitpur",015152351,saptakoshisavings@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/saptakoshi-saving-&-credit-cooperative-ltd.
Silk Saving & Credit Cooperative Ltd.,shantinagar -31 bhandari tower kathmandu,014622348,silksaving961@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/silk-saving-&-credit-cooperative-ltd.
Samuhik Prayas Multipurpose Cooperative Ltd.,"Kathmandu, 22 khichapokhari pashupatiplaza",015916544,spcooperative1@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/samuhik-prayas-multipurpose-cooperative-ltd.
Malika Multipurpose Cooperative Ltd.,"surya binayak-8 , bhaktapur",016623022,malikamultipurpose2078@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/malika-multipurpose-cooperative-ltd.
Himali Brahami Mahila Saving & Credit Cooperative Ltd.,"bharatpur ,chitwan",056523639,himalisaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/himali-brahami-mahila-saving-&-credit-cooperative-ltd.
Layaku Ludhwaka Saving & Credit Cooperative Ltd,Bhaktapur Muncipality Gapali 4 Bhaktapur,016619129,layaku.ludhwaka@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/layaku-ludhwaka-saving-&-credit-cooperative-ltd
Megha  Saving & Credit Cooperative Ltd.,"pokhara . newroad ,KASKI",061527288,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/megha-saving-&-credit-cooperative-ltd.
syuchatar Saving & Credit Cooperative Ltd.,"syuchatar ,kathmandu",015198279,syuchatar.saving@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/syuchatar-saving-&-credit-cooperative-ltd.
Bhirkuti Multipurpose Cooperative Ltd.,baneshwor kathmandu,014104193,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/bhirkuti-multipurpose-cooperative-ltd.-1
Madhya Nepal Saving & Credit Cooperative Ltd.,"pragatinagar, nawalparasi",078575408,mnsaccos20542@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/madhya-nepal-saving-credit-cooperative-ltd
Panchashil Multipurpose Cooperative Ltd.,"lalitpur -19,kumaripati",015408585,info@panchashilmcl.com.np,https://www.sahakariakhabar.com/cooperative-directory/panchashil-multipurpose-cooperative-ltd.
Jhapa District Cooperative Federation Ltd.,bhadrapur-5 jhapa,023546685,jhapacoopsfed@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/jhapa-district-cooperative-federation-ltd.
Samatra Saving & Credit Cooperative Ltd.,"minbhawan, new baneshwor , kathmandu",014462514,samatrasaccos@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/samatra-saving-&-credit-cooperative-ltd.
Shree Bihani Saving & Credit Cooperative Ltd.,mechinagar -14 Jhapa,044872628,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-bihani-saving-credit-cooperative-ltd
Danphe Saving & Credit Cooperative Ltd.,damak-10 Jhapa,023580928,danphecooperative@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/danphe-saving-credit-cooperative-ltd
Sagun Saving & Credit Cooperative Ltd.,takhurbaba-5  bardiya,9816578896,sagunsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sagun-saving-&-credit-cooperative-ltd.-1
Hamro Chahana Saving & Credit Cooperative Ltd.,"pasupati plaza , new road , kathmandu",015357350,hamrosacccos32@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/hamro-chahana-saving-&-credit-cooperative-ltd.
Shree Binayak Saving & Credit Cooperative Ltd.,badganja-4 kapilbastu,076550368,shreevinayak70@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-binayak-saving-&-credit-cooperative-ltd.-2
Shree Binayak Saving & Credit Cooperative Ltd.,maduban-4 sankhadhar chowk,016634722,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-binayak-saving-&-credit-cooperative-ltd.-1
Shree Binayak Saving & Credit Cooperative Ltd.,"Katunje,-8  Bhaktapur Nepal",044567557,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-binayak-saving-&-credit-cooperative-ltd.
Hamro Bhakari Saving & Credit Cooperative Ltd.,boudha kathmandu,014488301,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/hamro-bhakari-saving-&-credit-cooperative-ltd.
Indrayani Saving & Credit Cooperative Ltd.,"hakufoyati , bhaktapur",016616837,indrayanisaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/indrayani-saving-&-credit-cooperative-ltd.
Heet Saving & Credit Cooperative Ltd.,"jagati , kathmandu",016619158,heetsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/heet-saving-&-credit-cooperative-ltd.
Aakriti Saving & Credit Cooperative Ltd.,"fasku , kathmandu",014039613,aakritsccl@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aakriti-saving-&-credit-cooperative-ltd.
Asian Star Saving & Credit Cooperative Ltd.,banepa -7  kavrepalanchok,011660036,asianstarsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/asian-star-saving-&-credit-cooperative-ltd.
Suryadarshan Saving & Credit Cooperative Ltd.,"bharatpur -4, chitwan",056412033,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/suryadarshan-saving-&-credit-cooperative-ltd.
Bachan Saving & Credit Cooperative Ltd.,"kathmandu-30 ,dillibazar",014434320,savingbachan@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/bachan-saving-&-credit-cooperative-ltd.
Dharapani Saving & Credit Cooperative Ltd.,"bharatpur -4, chitwan",056513224,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/dharapani-saving-&-credit-cooperative-ltd.
Abiral Saving & Credit  Cooperative Ltd.,"koteshwor , kathmandu",015199246,abiralsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/abiral-saving-&-credit-cooperative-ltd.
Pirthivi Multipurpose Cooperative Ltd.,"pokhara-8 , kaski",061584690,prithvisaving@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/pirthivi-multipurpose-cooperative-ltd.
Hamro Namuna Saving & Credit Cooperative  Ltd.,lagankhel  lalitpur,015545229,hamronamunasaccos@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/hamro-namuna-saving-&-credit-cooperative-ltd.
Star Saving & Credit Cooperative Ltd.,"kumaripati , lalitpur",97715008725,hr@starsaving.com.np,https://www.sahakariakhabar.com/cooperative-directory/star-saving-&-credit-cooperative-ltd.
Jaya Shree Bhairab Saving & Credit Cooperative Ltd.,Gokarneshwor -5  kathmandu,014800975,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/jaya-shree-bhairab-saving-&-credit-cooperative-ltd.
Golden Rose Multipurpose Cooperative Ltd.,"pulchowk-3, lalitpur",015009138,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/golden-rose-multipurpose-cooperative-ltd.
Aagaman Saving  & Credit Cooperative Ltd,suryabinayak,6612874,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/aagaman-saving-&-credit-cooperative-ltd
Sundar  Saving & Credit Cooperative Ltd.,"madhyapur  thimi ,-15 sundarbazar bhaktapur",97716639174,sundarsacos@hotmail.com,https://www.sahakariakhabar.com/cooperative-directory/sundar-saving-&-credit-cooperative-ltd.
Shree shuva laxmi  Cooperative Ltd.,"gairadaha , jhapa",023480236,phanindradahal92@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/shree-shuva-laxmi-cooperative-ltd.
Jyotipunja Saving & Credit Cooperative Ltd.,new baneshwor -34 kathmandu,014780985,jyotipunja123@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/jyotipunja-saving-&-credit-cooperative-ltd.
