SchoolName,Link,Accreditation,Level,Address,Phone,Email
Utkrishta Shikshalaya Ma Vi,https://edusanjal.com/school/utkrishta-shikshalaya-ma-vi/,National Examinations Board,11 - 12,"Hattisar, Kathmandu",01 - 4547410,usm@prime.edu.np
Reliance International Academy,https://edusanjal.com/school/reliance-international-academy/,National Examinations Board,Nursery - 12,"Saraswatinagar, Chabahil-10, Budhanilakantha, Kathmandu","01-4810529, 4811552",info@rianepal.edu.np
United School,https://edusanjal.com/school/united-school/,N/A,1 - 10,"Imadol, Gwarko, Mahalaxmi, Lalitpur",01-5202543 | 01-5202938,info.us@united.edu.np
United Universal School,https://edusanjal.com/school/united-universal-school/,N/A,1 - 10,"Satdobato, Lalitpur",01-5545723 | 01-5554658,uus@united.edu.np
New Millennium School,https://edusanjal.com/school/new-millennium-school/,N/A,1 - 10,"Shital Height, Imadol-4, Mahalaxmi, Lalitpur","01-5201189, 01-5201191, 9851166449",info@nms.edu.np
Knowledge & Wisdom Academy,https://edusanjal.com/school/knowledge-and-wisdom-academy/,National Examinations Board,11 - 12,"New Baneshwor-10, Kathmandu","01-4474557, 01-4497515, 01-4494474",info@kandk.edu.np
Kathmandu Model Secondary School,https://edusanjal.com/school/kathmandu-model-secondary-school/,National Examinations Board,11 - 12,"Bagbazar-28, Kathmandu",01-5342121 | 01-5358915,info@ktmmodelcollege.edu.np
Malpi Institute,https://edusanjal.com/school/malpi-institute/,Cambridge GCE A Levels,11 - 12,"Subarna Shamsher Marg, Baluwatar-1, Kathmandu",01-4542066 | 01-4542067 | 01-4542068,admin@malpiins.edu.np
Hospitality World Campus-Kathmandu,https://edusanjal.com/school/hospitality-world-campus/,Scottish Qualifications Authority,N/A,"Jawalakhel, Lalitpur",01-5425671 / 980-1185389,Info@hwc.edu.np
Kakshalaya Kindergarten School,https://edusanjal.com/school/kakshalaya-kindergarten-school/,N/A,PG - UKG,"Tulsimarg-37, Ghattekulo, Dillibazar, Kathmandu",01-4533202,kakshalayaschool@gmail.com
Kathmandu BernHardt SS/College,https://edusanjal.com/school/kathmandu-bernhardt-secondary-school/,National Examinations Board,PG - 12,"Balkhu-14, Kathmandu",01-5187106/107,info@bernhardt.edu.np
Mahendra Adarsha Secondary School,https://edusanjal.com/school/mahendra-adarsha-higher-secondary-school/,National Examinations Board,Nursery - 12,"Imadol-4, Mahalaxmi, Lalitpur","01-5200045, 01-5251286",mahssimadol@gmail.com
ASIA PACIFIC SCHOOL,https://edusanjal.com/school/asia-pacific-school/,National Examinations Board,PG - 12,"Dhapasi-6, Tokha, Kathmandu",01-5159108/01-5159128,info@asiapacific.edu.np
Samriddhi School,https://edusanjal.com/school/samriddhi-school/,National Examinations Board,Nursery - 11,"Banasthali, Balaju-16, Kathmandu","01-4970590, 4970591",info@samriddhischool.edu.np
REHDON College & School,https://edusanjal.com/school/rehdon-higher-secondary-school-and-college/,National Examinations Board,Nursery - 12,"REHDON Pul, Samakhushi-26, Kathmandu","01-4952761, 9851254856, 9851254859",info@rehdon.edu.np
Budhanilkantha School,https://edusanjal.com/school/budhanilkantha-school/,National Examinations Board,5 - 11,"Budhanilakantha-5, Kathmandu","01-4371637, 01-4370248",info@bnks.edu.np
Premier International IB Continuum School,https://edusanjal.com/school/premier-international-school/,National Examinations Board,PG - 12,"Khumaltar Height, Satdobato, Lalitpur","01-5528032, 01-5549849, 01-5549773",info@premier.edu.np
The New Summit Secondary School,https://edusanjal.com/school/the-new-summit-school/,National Examinations Board,PG - 12,"Shantinagar-31, Kathmandu",9851479555 / 9851489555 / 9851449555,newsummitschool@outlook.com
Cambridge Public High School,https://edusanjal.com/school/cambridge-public-school/,N/A,PG - 10,"Rohinimarg, Purano Baneshwor-10, Kathmandu","01-4567161, 9851063883",cphsbaneshwor@gmail.com
Asha SS/College,https://edusanjal.com/school/asha-english-boarding-school/,National Examinations Board,Nursery - 12,"New Baneshwor, Aloknagar-31, Kathmandu","01-4108293, 01-4534175",ashacollege2018@gmail.com
Dakchyata International School/College,https://edusanjal.com/school/dakchyata-international-school/,National Examinations Board,Nursery - 12,"Kalimati-13, Kathmandu","01-5313998, 01-5315247",info@dakchyataschool.edu.np
Buds Montessori Pre School,https://edusanjal.com/school/buds-montessori-lalitpur/,N/A,PG - UKG,"Nakkhu-18, Lalitpur",01-5015308,budsmontessori@gmail.com
Eurokids Bishalnagar,https://edusanjal.com/school/eurokids-tangal/,N/A,PG - UKG,"Bishalnagar, Kathmandu","01-5920600, 980-1836575",coordinator@eurokids.com.np
Eurokids Tinkune,https://edusanjal.com/school/eurokids-tinkune/,N/A,PG - UKG,"Subhidanagar, Tinkune, Kathmandu",01-5199324 | 01-5199410,eurokids.tinkune3@gmail.com
Eurokids Samakhusi,https://edusanjal.com/school/eurokids-samakhusi/,N/A,PG - UKG,"Samakhusi, Kathmandu","01-4351606, 01-4352785, 9801836589",adm.eksamakhusi@gmail.com
Eurokids Hattigauda,https://edusanjal.com/school/eurokids-bansbari/,N/A,PG - UKG,"Budanilkantha-6, Kathmandu","01-4372824, 9801836599, 9802073507",info@eurokidsnepal.com
United Pre-School,https://edusanjal.com/school/united-pre-school/,N/A,PG - UKG,"Satdobato, Lalitpur",01-5913731,info.us@united.edu.np
Kids Garden Montessori School,https://edusanjal.com/school/kids-garden-montessori-school/,N/A,PG - UKG,"Perisdanda, Koteshwor, Kathmandu",9841996470,info@kidsgarden.edu.np
Kathmandu Institute of Technology,https://edusanjal.com/school/kathmandu-institute-technology/,CTEVT,N/A,"Dhapasi, Milantole, Tokha, Kathmandu","01-5159255, 01-5159021",info@kit.edu.np
National Institute of Science & Technology (NIST आयुर्वेदिक कलेज),https://edusanjal.com/school/national-college-technical-science-chitwan/,CTEVT,N/A,"Om shanti chowk-10, Bharatpur, Chitwan",9845340931 | 9861351437,nationalcollege83@gmail.com
Himalayan Ayurveda Medical Science College,https://edusanjal.com/school/himalayan-aayurveda-medical-science-college/,CTEVT,N/A,"Buddhanagar-10-10, Kathmandu","01-4796398, 01-4796399, 9765013848, 9765013847",haatcol@gmail.com
United Technical School,https://edusanjal.com/school/united-technical-school/,CTEVT,N/A,"Kumaripati, Lalitpur",01-5202938,info.uts@united.edu.np
International Hotel Training School,https://edusanjal.com/school/international-hotel-training-school/,CTEVT,N/A,"Bhimsengola chowk, Kathmandu",01-4583167/ 4598481,info@ihts.edu.np
Mount Strada Barista Academy,https://edusanjal.com/school/mount-strada-coffee/,N/A,N/A,"New Baneshwor, Kathmandu",01-5244244,msbaristaacademy@gmail.com
Prashikshan,https://edusanjal.com/school/prashikshan/,N/A,N/A,"New Baneshwor, Kathmandu",977 985-1037897,info@prashikshan.edu.np
