CompanyName,Address,AddressLang,Phone,Email,Link,province
Helix  Saving & Credit Cooperative Ltd.,"kageshwori manohara -9, kadaghari",English,14991491,helixsavingltd@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/helix-saving-credit-cooperative-ltd,Bagmati
Kabeli Multipurpose Cooperative Ltd.,"pepsikola, kathmandu",English,15156320,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/kabeli-multipurpose-cooperative-ltd.,Bagmati
Shree Amarjyoti Saving & Credit Cooperative Ltd.,butwal -11 rupendehi,English,55684753,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-amarjyoti-saving-&-credit-cooperative-ltd.,Lumbini
Siddibinayak Multipurpose Cooperative Ltd.,"Urlabari-5,Morang",English,21540660,siddibinaykcoop@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/siddibinayak-multipurpose-cooperative-ltd.,Koshi
Aadarsha Saving & Credit Cooperative Ltd.,"bharatpur ,chitwan",English,56524169,aadarshasaving@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aadarsha-saving-&-credit-cooperative-ltd.,Bagmati
Paurakhe  Multipurpose Cooperative Ltd.,"nepalgung, bake",English,81551041,paurakheemt@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/paurakhe-multipurpose-cooperative-ltd.,Lumbini
Shree Matribhumi Multipurpose Cooperative Ltd.,"bhuwaqneshwor marg , butwal -4 rupendehi",English,71544821,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-matribhumi-multipurpose-cooperative-ltd.,Lumbini
Pahuna Multipurpose Cooperative Ltd.,"Radhe Radhe -9, Bhaktapur",English,15910234,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/pahuna-multipurpose-cooperative-ltd.-4,Bagmati
Goals Saving &  Credit  Coopertive Ltd.,"chauni-15, kathmandu",English,14278140,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/goals-saving-&-credit-coopertive-ltd.,Bagmati
Astalaxmi  Saving & Credit Cooperative Ltd.,patharisanishchare morang,English,21555528,astalaxmi062@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/astalaxmi-saving-&-credit-cooperative-ltd.,Koshi
Jana Shakti Saving & Credit Cooperative Ltd.,"Birtamode, Jhapa Nepal",English,23933344,janashakticoop2014@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/jana-shakti-saving-&-credit-cooperative-ltd.,Koshi
Sarba Sakti Saving & Credit Cooperative Ltd.,"bharatpur-2, chitwan",English,56590525,sarbasakti68@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sarba-sakti-saving-&-credit-cooperative-ltd.,Bagmati
Good Will Saving & Credit Cooperative Ltd.,"shankhamul, baneshwor",English,14481746,info@goodwillsaving.com.np,https://www.sahakariakhabar.com/cooperative-directory/good-will-saving-&-credit-cooperative-ltd.,Bagmati
Chaughada Saving & Credit Cooperative Ltd.,"hetauda-6, chaughada",English,57530226,sahakari.chaughada@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/chaughada-saving-&-credit-cooperative-ltd.,Bagmati
Shree Sagarmatha Saving & Credit Cooperative Ltd.,"Urlabari-5,Morang",English,21540103,saccossagarmatha@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-sagarmatha-saving-&-credit-cooperative-ltd.,Koshi
Junar Central Cooperative Union ltd,"Sindhuli, Kathmandu",English,476489653,sindhuliko.junar@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/junar-central-cooperative-union-ltd,Bagmati
Srijana saving & Credit Cooperative  ltd.,balkot -bhaktapur,English,15639904,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/srijana-saving-&-credit-cooperative-ltd.,Bagmati
Aphanta Saving & Credit Cooperative Ltd.,"minbhawan ,kathmandu",English,14106532,aphantaco@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aphanta-saving-&-credit-cooperative-ltd.,Bagmati
Binayak sewamulak Multipurpose  Cooperative Ltd.,"bhaktapur ,thimi",English,15093591,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/binayak-sewamulak-multipurpose-cooperative-ltd.,Bagmati
Shankhadhar Saving & Credit Cooperative Ltd.,Thimi  bhaktapur,English,15093507,shankhadhar-s@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shankhadhar-saving-&-credit-cooperative-ltd.,Bagmati
Ujyalo Saving & Credit Cooperative Ltd.,"surya binayak , bhaktapur",English,16612362,ujyalosaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/ujyalo-saving-&-credit-cooperative-ltd.,Bagmati
Sumarga Saving & Credit Cooperative Ltd.,"surya binayak , bhaktapur",English,16611549,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/sumarga-saving-&-credit-cooperative-ltd.,Bagmati
Hausala Multipurpose Cooperative Ltd.,"satdobato, Lalitpur Nepal",English,15540690,hausalacoop@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/hausala-multipurpose-cooperative-ltd.,Bagmati
Katunje Cooperative Ltd.,"suryabinayak-5 ghalate , bhaktapur",English,15092214,katunjecooperativeltd@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/katunje-cooperative-ltd.,Bagmati
Saptakoshi  Saving & Credit Cooperative Ltd.,"satdobato ,chapagaumod,lalitpur",English,15152351,saptakoshisavings@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/saptakoshi-saving-&-credit-cooperative-ltd.,Bagmati
Silk Saving & Credit Cooperative Ltd.,shantinagar -31 bhandari tower kathmandu,English,14622348,silksaving961@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/silk-saving-&-credit-cooperative-ltd.,Bagmati
Samuhik Prayas Multipurpose Cooperative Ltd.,"Kathmandu, 22 khichapokhari pashupatiplaza",English,15916544,spcooperative1@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/samuhik-prayas-multipurpose-cooperative-ltd.,Bagmati
Malika Multipurpose Cooperative Ltd.,"surya binayak-8 , bhaktapur",English,16623022,malikamultipurpose2078@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/malika-multipurpose-cooperative-ltd.,Bagmati
Himali Brahami Mahila Saving & Credit Cooperative Ltd.,"bharatpur ,chitwan",English,56523639,himalisaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/himali-brahami-mahila-saving-&-credit-cooperative-ltd.,Bagmati
Layaku Ludhwaka Saving & Credit Cooperative Ltd,Bhaktapur Muncipality Gapali 4 Bhaktapur,English,16619129,layaku.ludhwaka@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/layaku-ludhwaka-saving-&-credit-cooperative-ltd,Bagmati
Megha  Saving & Credit Cooperative Ltd.,"pokhara . newroad ,KASKI",English,61527288,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/megha-saving-&-credit-cooperative-ltd.,Gandaki
syuchatar Saving & Credit Cooperative Ltd.,"syuchatar ,kathmandu",English,15198279,syuchatar.saving@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/syuchatar-saving-&-credit-cooperative-ltd.,Bagmati
Bhirkuti Multipurpose Cooperative Ltd.,baneshwor kathmandu,English,14104193,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/bhirkuti-multipurpose-cooperative-ltd.-1,Bagmati
Madhya Nepal Saving & Credit Cooperative Ltd.,"pragatinagar, nawalparasi",English,78575408,mnsaccos20542@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/madhya-nepal-saving-credit-cooperative-ltd,Lumbini
Panchashil Multipurpose Cooperative Ltd.,"lalitpur -19,kumaripati",English,15408585,info@panchashilmcl.com.np,https://www.sahakariakhabar.com/cooperative-directory/panchashil-multipurpose-cooperative-ltd.,Bagmati
Jhapa District Cooperative Federation Ltd.,bhadrapur-5 jhapa,English,23546685,jhapacoopsfed@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/jhapa-district-cooperative-federation-ltd.,Koshi
Samatra Saving & Credit Cooperative Ltd.,"minbhawan, new baneshwor , kathmandu",English,14462514,samatrasaccos@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/samatra-saving-&-credit-cooperative-ltd.,Bagmati
Shree Bihani Saving & Credit Cooperative Ltd.,mechinagar -14 Jhapa,English,44872628,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-bihani-saving-credit-cooperative-ltd,Koshi
Danphe Saving & Credit Cooperative Ltd.,damak-10 Jhapa,English,23580928,danphecooperative@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/danphe-saving-credit-cooperative-ltd,Koshi
Sagun Saving & Credit Cooperative Ltd.,takhurbaba-5  bardiya,English,9816578896,sagunsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sagun-saving-&-credit-cooperative-ltd.-1,Lumbini
Hamro Chahana Saving & Credit Cooperative Ltd.,"pasupati plaza , new road , kathmandu",English,15357350,hamrosacccos32@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/hamro-chahana-saving-&-credit-cooperative-ltd.,Bagmati
Shree Binayak Saving & Credit Cooperative Ltd.,badganja-4 kapilbastu,English,76550368,shreevinayak70@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-binayak-saving-&-credit-cooperative-ltd.-2,Bagmati
Shree Binayak Saving & Credit Cooperative Ltd.,maduban-4 sankhadhar chowk,English,16634722,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-binayak-saving-&-credit-cooperative-ltd.-1,Bagmati
Shree Binayak Saving & Credit Cooperative Ltd.,"Katunje,-8  Bhaktapur Nepal",English,44567557,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-binayak-saving-&-credit-cooperative-ltd.,Bagmati
Hamro Bhakari Saving & Credit Cooperative Ltd.,boudha kathmandu,English,14488301,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/hamro-bhakari-saving-&-credit-cooperative-ltd.,Bagmati
Indrayani Saving & Credit Cooperative Ltd.,"hakufoyati , bhaktapur",English,16616837,indrayanisaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/indrayani-saving-&-credit-cooperative-ltd.,Bagmati
Heet Saving & Credit Cooperative Ltd.,"jagati , kathmandu",English,16619158,heetsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/heet-saving-&-credit-cooperative-ltd.,Bagmati
Aakriti Saving & Credit Cooperative Ltd.,"fasku , kathmandu",English,14039613,aakritsccl@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aakriti-saving-&-credit-cooperative-ltd.,Bagmati
Asian Star Saving & Credit Cooperative Ltd.,banepa -7  kavrepalanchok,English,11660036,asianstarsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/asian-star-saving-&-credit-cooperative-ltd.,Bagmati
Suryadarshan Saving & Credit Cooperative Ltd.,"bharatpur -4, chitwan",English,56412033,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/suryadarshan-saving-&-credit-cooperative-ltd.,Bagmati
Bachan Saving & Credit Cooperative Ltd.,"kathmandu-30 ,dillibazar",English,14434320,savingbachan@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/bachan-saving-&-credit-cooperative-ltd.,Bagmati
Dharapani Saving & Credit Cooperative Ltd.,"bharatpur -4, chitwan",English,56513224,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/dharapani-saving-&-credit-cooperative-ltd.,Bagmati
